year,crisis,loocv_prob,nepal_india_inflation_spread_lag1_shap,current_account_lag1_shap,remittance_pct_gdp_lag1_shap,t2_forex_lag1_shap,gdp_growth_lag1_shap
1996,1,0.7889146,2.267324,-0.4364582,-0.1868707,0.1366552,-0.050882686
1997,0,0.13444029,-0.8785955,-0.7762564,-0.4243468,0.1366552,-0.050882686
1998,1,0.7907339,2.267324,-0.4364582,-0.1868707,0.1366552,-0.050882686
1999,0,0.88294536,0.8096379,-0.6058995,-0.4243468,0.030672668,0.055099845
2000,0,0.12957163,-0.8785955,-0.7762564,-0.4243468,0.1366552,-0.050882686
2001,0,0.50332624,-0.8785955,-0.7762564,-0.4243468,0.1366552,-0.050882686
2002,0,0.09995641,-0.8785955,-0.6524969,-0.4243468,-0.16072355,-0.16161224
2003,0,0.25233886,-0.8243891,-0.09588259,-0.4243468,-0.15862384,0.17500192
2004,0,0.16376704,-0.8243891,-0.09588259,-0.4243468,-0.28327295,-0.16161224
2005,0,0.16566603,-0.8243891,-0.09588259,-0.4243468,-0.28327295,-0.16161224
2006,0,0.3338441,-0.8243891,0.0071049975,-0.4243468,0.24085283,-0.050882686
2007,0,0.22543617,-0.8243891,-0.09588259,-0.4243468,-0.28327295,-0.16161224
2008,1,0.85889554,2.077395,0.102767535,-0.1868707,0.24085283,-0.050882686
2009,1,0.12384324,-0.44649744,1.554729,0.20551398,0.24085283,-0.050882686
2010,1,0.11942514,-0.7491005,0.0071049975,0.20551398,0.24085283,-0.050882686
2011,1,0.8432736,1.9900379,-0.08716176,0.090415314,0.24085283,-0.050882686
2012,0,0.45581615,-0.8243891,0.0071049975,-0.4243468,0.24085283,-0.050882686
2013,0,0.2915281,-0.7491005,-0.09588259,0.20551398,-0.28327295,-0.16161224
2014,0,0.7076655,-0.7350757,-0.01598339,0.20551398,-0.28327295,-0.16161224
2015,0,0.27877298,-0.7491005,-0.09588259,0.20551398,-0.28327295,-0.16161224
2016,1,0.2679516,-0.44649744,1.4517412,0.20551398,-0.15862384,0.17500192
2017,0,0.3593209,-0.8033069,-0.5299475,0.20551398,-0.15862384,0.17500192
2018,0,0.19708699,-0.8033069,-0.6524969,0.20551398,-0.16072355,-0.16161224
2019,0,0.28383392,-0.8033069,-0.7762564,0.20551398,0.1366552,-0.050882686
2020,0,0.1872646,-0.8033069,-0.6524969,0.20551398,-0.16072355,-0.16161224
2021,1,0.15530215,0.9391329,0.074474335,0.20551398,-0.15862384,0.17500192
2022,0,0.30328947,-0.8033069,-0.7762564,0.20551398,0.1366552,-0.050882686
2023,0,0.1872646,-0.8033069,-0.6524969,0.20551398,-0.16072355,-0.16161224
2024,0,0.38635215,-0.7491005,-0.09588259,0.20551398,-0.15862384,0.17500192
